,法院名称,上诉法院,级别
778,哈尔滨铁路运输人民法院,哈尔滨铁路中级人民法院,基层
779,牡丹江铁路运输人民法院,哈尔滨铁路中级人民法院,基层
780,佳木斯铁路运输人民法院,哈尔滨铁路中级人民法院,基层
781,齐齐哈尔铁路运输人民法院,哈尔滨铁路中级人民法院,基层
782,亚布力人民人民法院,林区中级人民法院,基层
783,双桦人民人民法院,林区中级人民法院,基层
784,东方红人民人民法院,林区中级人民法院,基层
785,沿江人民人民法院,林区中级人民法院,基层
786,鹤北人民人民法院,林区中级人民法院,基层
787,绥阳人民人民法院,林区中级人民法院,基层
788,诺敏河人民人民法院,林区中级人民法院,基层
789,宝泉岭农垦人民法院,农垦中级人民法院,基层
790,建三江农垦人民法院,农垦中级人民法院,基层
791,红兴隆农垦人民法院,农垦中级人民法院,基层
792,九三农垦人民法院,农垦中级人民法院,基层
793,绥北人民人民法院,农垦中级人民法院,基层
794,浦东新区人民法院,上海一中级人民法院,基层
795,徐汇区人民法院,上海一中级人民法院,基层
796,长宁区人民法院,上海一中级人民法院,基层
797,闵行区人民法院,上海一中级人民法院,基层
798,松江区人民法院,上海一中级人民法院,基层
799,金山区人民法院,上海一中级人民法院,基层
800,奉贤区人民法院,上海一中级人民法院,基层
801,黄浦区人民法院,上海二中级人民法院,基层
802,杨浦区人民法院,上海二中级人民法院,基层
803,虹口区人民法院,上海二中级人民法院,基层
804,静安区人民法院,上海二中级人民法院,基层
805,普陀区人民法院,上海二中级人民法院,基层
806,宝山区人民法院,上海二中级人民法院,基层
807,嘉定区人民法院,上海二中级人民法院,基层
808,青浦区人民法院,上海二中级人民法院,基层
809,崇明县人民法院,上海二中级人民法院,基层
810,上海铁路运输人民法院,上海铁路中级人民法院,基层
811,玄武区人民法院,南京市中级人民法院,基层
812,白下区人民法院,南京市中级人民法院,基层
813,秦淮区人民法院,南京市中级人民法院,基层
814,建邺区人民法院,南京市中级人民法院,基层
815,鼓楼区人民法院,南京市中级人民法院,基层
816,下关区人民法院,南京市中级人民法院,基层
817,浦口区人民法院,南京市中级人民法院,基层
818,栖霞区人民法院,南京市中级人民法院,基层
819,雨花台区人民法院,南京市中级人民法院,基层
820,江宁区人民法院,南京市中级人民法院,基层
821,六合区人民法院,南京市中级人民法院,基层
822,溧水县人民法院,南京市中级人民法院,基层
823,高淳县人民法院,南京市中级人民法院,基层
824,江宁开发区人民法院,南京市中级人民法院,基层
825,锡山区人民法院,无锡市中级人民法院,基层
826,惠山区人民法院,无锡市中级人民法院,基层
827,滨湖区人民法院,无锡市中级人民法院,基层
828,江阴市人民法院,无锡市中级人民法院,基层
829,宜兴市人民法院,无锡市中级人民法院,基层
830,新吴区人民法院,无锡市中级人民法院,基层
831,梁溪区人民法院,无锡市中级人民法院,基层
832,无锡高新区人民法院,无锡市中级人民法院,基层
833,徐州鼓楼区人民法院,徐州市中级人民法院,基层
834,云龙区人民法院,徐州市中级人民法院,基层
835,贾汪区人民法院,徐州市中级人民法院,基层
836,泉山区人民法院,徐州市中级人民法院,基层
837,铜山区人民法院,徐州市中级人民法院,基层
838,新沂市人民法院,徐州市中级人民法院,基层
839,邳州市人民法院,徐州市中级人民法院,基层
840,丰县人民法院,徐州市中级人民法院,基层
841,沛县人民法院,徐州市中级人民法院,基层
842,睢宁县人民法院,徐州市中级人民法院,基层
843,经济开发区人民法院,徐州市中级人民法院,基层
844,天宁区人民法院,常州市中级人民法院,基层
845,钟楼区人民法院,常州市中级人民法院,基层
846,戚墅堰区人民法院,常州市中级人民法院,基层
847,新北区人民法院,常州市中级人民法院,基层
848,武进区人民法院,常州市中级人民法院,基层
849,溧阳市人民法院,常州市中级人民法院,基层
850,金坛市人民法院,常州市中级人民法院,基层
851,高新区人民法院,常州市中级人民法院,基层
852,经开区人民法院,常州市中级人民法院,基层
853,姑苏区人民法院,苏州市中级人民法院,基层
854,平江区人民法院,苏州市中级人民法院,基层
855,金阊区人民法院,苏州市中级人民法院,基层
856,虎丘区人民法院,苏州市中级人民法院,基层
857,吴中区人民法院,苏州市中级人民法院,基层
858,相城区人民法院,苏州市中级人民法院,基层
859,常熟市人民法院,苏州市中级人民法院,基层
860,张家港市人民法院,苏州市中级人民法院,基层
861,昆山市人民法院,苏州市中级人民法院,基层
862,吴江区人民法院,苏州市中级人民法院,基层
863,太仓市人民法院,苏州市中级人民法院,基层
864,苏州工业园区人民法院,苏州市中级人民法院,基层
865,苏州高新区人民法院,苏州市中级人民法院,基层
866,崇川区人民法院,南通市中级人民法院,基层
867,港闸区人民法院,南通市中级人民法院,基层
868,南通通州区人民法院,南通市中级人民法院,基层
869,启东市人民法院,南通市中级人民法院,基层
870,如皋市人民法院,南通市中级人民法院,基层
871,海门市人民法院,南通市中级人民法院,基层
872,海安县人民法院,南通市中级人民法院,基层
873,如东县人民法院,南通市中级人民法院,基层
874,南通经开发区人民法院,南通市中级人民法院,基层
875,连云区人民法院,连云港市中级人民法院,基层
876,新浦区人民法院,连云港市中级人民法院,基层
877,海州区人民法院,连云港市中级人民法院,基层
878,赣榆县人民法院,连云港市中级人民法院,基层
879,东海县人民法院,连云港市中级人民法院,基层
880,灌云县人民法院,连云港市中级人民法院,基层
881,灌南县人民法院,连云港市中级人民法院,基层
882,连云港经开区人民法院,连云港市中级人民法院,基层
883,清河区人民法院,淮安市中级人民法院,基层
884,淮安区人民法院,淮安市中级人民法院,基层
885,淮阴区人民法院,淮安市中级人民法院,基层
886,清江浦区人民法院,淮安市中级人民法院,基层
887,涟水县人民法院,淮安市中级人民法院,基层
888,洪泽县人民法院,淮安市中级人民法院,基层
889,盱眙县人民法院,淮安市中级人民法院,基层
890,金湖县人民法院,淮安市中级人民法院,基层
891,经济技术开发区人民法院,淮安市中级人民法院,基层
892,亭湖区人民法院,盐城市中级人民法院,基层
893,盐都区人民法院,盐城市中级人民法院,基层
894,东台市人民法院,盐城市中级人民法院,基层
895,大丰市人民法院,盐城市中级人民法院,基层
896,响水县人民法院,盐城市中级人民法院,基层
897,滨海县人民法院,盐城市中级人民法院,基层
898,阜宁县人民法院,盐城市中级人民法院,基层
899,射阳县人民法院,盐城市中级人民法院,基层
900,建湖县人民法院,盐城市中级人民法院,基层
901,盐城经开区人民法院,盐城市中级人民法院,基层
902,广陵区人民法院,扬州市中级人民法院,基层
903,邗江区人民法院,扬州市中级人民法院,基层
904,维扬区人民法院,扬州市中级人民法院,基层
905,仪征市人民法院,扬州市中级人民法院,基层
906,高邮市人民法院,扬州市中级人民法院,基层
907,江都市人民法院,扬州市中级人民法院,基层
908,宝应县人民法院,扬州市中级人民法院,基层
909,经开区人民法院,扬州市中级人民法院,基层
910,京口区人民法院,镇江市中级人民法院,基层
911,润州区人民法院,镇江市中级人民法院,基层
912,丹徒区人民法院,镇江市中级人民法院,基层
913,丹阳市人民法院,镇江市中级人民法院,基层
914,扬中市人民法院,镇江市中级人民法院,基层
915,句容市人民法院,镇江市中级人民法院,基层
916,镇江经开发区人民法院,镇江市中级人民法院,基层
917,海陵区人民法院,泰州市中级人民法院,基层
918,高港区人民法院,泰州市中级人民法院,基层
919,兴化市人民法院,泰州市中级人民法院,基层
920,靖江市人民法院,泰州市中级人民法院,基层
921,泰兴市人民法院,泰州市中级人民法院,基层
922,姜堰区人民法院,泰州市中级人民法院,基层
923,医药高新技术产业开发区人民法院,泰州市中级人民法院,基层
924,宿城区人民法院,宿迁市中级人民法院,基层
925,宿豫区人民法院,宿迁市中级人民法院,基层
926,沭阳县人民法院,宿迁市中级人民法院,基层
927,泗阳县人民法院,宿迁市中级人民法院,基层
928,泗洪县人民法院,宿迁市中级人民法院,基层
929,上城区人民法院,杭州市中级人民法院,基层
930,下城区人民法院,杭州市中级人民法院,基层
931,江干区人民法院,杭州市中级人民法院,基层
932,拱墅区人民法院,杭州市中级人民法院,基层
933,西湖区人民法院,杭州市中级人民法院,基层
934,滨江区人民法院,杭州市中级人民法院,基层
935,萧山区人民法院,杭州市中级人民法院,基层
936,余杭区人民法院,杭州市中级人民法院,基层
937,建德市人民法院,杭州市中级人民法院,基层
938,富阳市人民法院,杭州市中级人民法院,基层
939,临安区人民法院,杭州市中级人民法院,基层
940,桐庐县人民法院,杭州市中级人民法院,基层
941,淳安县人民法院,杭州市中级人民法院,基层
942,经济技术开发区人民法院,杭州市中级人民法院,基层
943,杭州互联网人民法院,杭州市中级人民法院,基层
944,海曙区人民法院,宁波市中级人民法院,基层
945,江东区人民法院,宁波市中级人民法院,基层
946,江北区人民法院,宁波市中级人民法院,基层
947,北仑区人民法院,宁波市中级人民法院,基层
948,镇海区人民法院,宁波市中级人民法院,基层
949,鄞州区人民法院,宁波市中级人民法院,基层
950,余姚市人民法院,宁波市中级人民法院,基层
951,慈溪市人民法院,宁波市中级人民法院,基层
952,奉化区人民法院,宁波市中级人民法院,基层
953,象山县人民法院,宁波市中级人民法院,基层
954,宁海县人民法院,宁波市中级人民法院,基层
955,宁波高新区人民法院,宁波市中级人民法院,基层
956,鹿城区人民法院,温州市中级人民法院,基层
957,龙湾区人民法院,温州市中级人民法院,基层
958,瓯海区人民法院,温州市中级人民法院,基层
959,瑞安市人民法院,温州市中级人民法院,基层
960,乐清市人民法院,温州市中级人民法院,基层
961,洞头县人民法院,温州市中级人民法院,基层
962,永嘉县人民法院,温州市中级人民法院,基层
963,平阳县人民法院,温州市中级人民法院,基层
964,苍南县人民法院,温州市中级人民法院,基层
965,文成县人民法院,温州市中级人民法院,基层
966,泰顺县人民法院,温州市中级人民法院,基层
967,南湖区人民法院,嘉兴市中级人民法院,基层
968,秀洲区人民法院,嘉兴市中级人民法院,基层
969,海宁市人民法院,嘉兴市中级人民法院,基层
970,平湖市人民法院,嘉兴市中级人民法院,基层
971,桐乡市人民法院,嘉兴市中级人民法院,基层
972,嘉善县人民法院,嘉兴市中级人民法院,基层
973,海盐县人民法院,嘉兴市中级人民法院,基层
974,吴兴区人民法院,湖州市中级人民法院,基层
975,南浔区人民法院,湖州市中级人民法院,基层
976,德清县人民法院,湖州市中级人民法院,基层
977,长兴县人民法院,湖州市中级人民法院,基层
978,安吉县人民法院,湖州市中级人民法院,基层
979,越城区人民法院,绍兴市中级人民法院,基层
980,诸暨市人民法院,绍兴市中级人民法院,基层
981,上虞市人民法院,绍兴市中级人民法院,基层
982,嵊州市人民法院,绍兴市中级人民法院,基层
983,柯桥区人民法院,绍兴市中级人民法院,基层
984,新昌县人民法院,绍兴市中级人民法院,基层
985,婺城区人民法院,金华市中级人民法院,基层
986,金东区人民法院,金华市中级人民法院,基层
987,兰溪市人民法院,金华市中级人民法院,基层
988,义乌市人民法院,金华市中级人民法院,基层
989,东阳市人民法院,金华市中级人民法院,基层
990,永康市人民法院,金华市中级人民法院,基层
991,武义县人民法院,金华市中级人民法院,基层
992,浦江县人民法院,金华市中级人民法院,基层
993,磐安县人民法院,金华市中级人民法院,基层
994,柯城区人民法院,衢州市中级人民法院,基层
995,衢江区人民法院,衢州市中级人民法院,基层
996,江山市人民法院,衢州市中级人民法院,基层
997,常山县人民法院,衢州市中级人民法院,基层
998,开化县人民法院,衢州市中级人民法院,基层
999,龙游县人民法院,衢州市中级人民法院,基层
1000,定海区人民法院,舟山市中级人民法院,基层
1001,舟山普陀人民法院,舟山市中级人民法院,基层
1002,岱山县人民法院,舟山市中级人民法院,基层
1003,嵊泗县人民法院,舟山市中级人民法院,基层
1004,椒江区人民法院,台州市中级人民法院,基层
1005,黄岩区人民法院,台州市中级人民法院,基层
1006,路桥区人民法院,台州市中级人民法院,基层
1007,温岭市人民法院,台州市中级人民法院,基层
1008,临海市人民法院,台州市中级人民法院,基层
1009,玉环县人民法院,台州市中级人民法院,基层
1010,三门县人民法院,台州市中级人民法院,基层
1011,天台县人民法院,台州市中级人民法院,基层
1012,仙居县人民法院,台州市中级人民法院,基层
1013,莲都区人民法院,丽水市中级人民法院,基层
1014,龙泉市人民法院,丽水市中级人民法院,基层
1015,青田县人民法院,丽水市中级人民法院,基层
1016,缙云县人民法院,丽水市中级人民法院,基层
1017,遂昌县人民法院,丽水市中级人民法院,基层
1018,松阳县人民法院,丽水市中级人民法院,基层
1019,云和县人民法院,丽水市中级人民法院,基层
1020,庆元县人民法院,丽水市中级人民法院,基层
1021,景宁县人民法院,丽水市中级人民法院,基层
1022,瑶海区人民法院,合肥市中级人民法院,基层
1023,庐阳区人民法院,合肥市中级人民法院,基层
1024,蜀山区人民法院,合肥市中级人民法院,基层
1025,包河区人民法院,合肥市中级人民法院,基层
1026,合肥高新开发区人民法院,合肥市中级人民法院,基层
1027,巢湖市人民法院,合肥市中级人民法院,基层
1028,长丰县人民法院,合肥市中级人民法院,基层
1029,肥东县人民法院,合肥市中级人民法院,基层
1030,肥西县人民法院,合肥市中级人民法院,基层
1031,庐江县人民法院,合肥市中级人民法院,基层
1032,合肥铁路运输人民法院,合肥市中级人民法院,基层
1033,镜湖区人民法院,芜湖市中级人民法院,基层
1034,弋江区人民法院,芜湖市中级人民法院,基层
1035,鸠江区人民法院,芜湖市中级人民法院,基层
1036,三山区人民法院,芜湖市中级人民法院,基层
1037,芜湖县人民法院,芜湖市中级人民法院,基层
1038,繁昌县民人民法院,芜湖市中级人民法院,基层
1039,南陵县人民法院,芜湖市中级人民法院,基层
1040,芜湖经开区人民法院,芜湖市中级人民法院,基层
1041,无为县人民法院,芜湖市中级人民法院,基层
1042,龙子湖区人民法院,蚌埠市中级人民法院,基层
1043,蚌山区人民法院,蚌埠市中级人民法院,基层
1044,禹会区人民法院,蚌埠市中级人民法院,基层
1045,淮上区人民法院,蚌埠市中级人民法院,基层
1046,怀远县人民法院,蚌埠市中级人民法院,基层
1047,五河县人民法院,蚌埠市中级人民法院,基层
1048,固镇县人民法院,蚌埠市中级人民法院,基层
1049,大通区人民法院,淮南市中级人民法院,基层
1050,田家庵区人民法院,淮南市中级人民法院,基层
1051,谢家集区人民法院,淮南市中级人民法院,基层
1052,八公山区人民法院,淮南市中级人民法院,基层
1053,潘集区人民法院,淮南市中级人民法院,基层
1054,凤台县人民法院,淮南市中级人民法院,基层
1055,寿县人民法院,淮南市中级人民法院,基层
1056,花山区人民法院,马鞍山市中级人民法院,基层
1057,雨山区人民法院,马鞍山市中级人民法院,基层
1058,博望区人民法院,马鞍山市中级人民法院,基层
1059,当涂县人民法院,马鞍山市中级人民法院,基层
1060,含山县 人民法院,马鞍山市中级人民法院,基层
1061,和县 人民法院,马鞍山市中级人民法院,基层
1062,相山区人民法院,淮北市中级人民法院,基层
1063,杜集区人民法院,淮北市中级人民法院,基层
1064,烈山区人民法院,淮北市中级人民法院,基层
1065,濉溪县人民法院,淮北市中级人民法院,基层
1066,铜官区人民法院,铜陵市中级人民法院,基层
1067,铜陵市郊区人民法院,铜陵市中级人民法院,基层
1068,义安区人民法院,铜陵市中级人民法院,基层
1069,枞阳县人民法院,铜陵市中级人民法院,基层
1070,迎江区人民法院,安庆市中级人民法院,基层
1071,大观区人民法院,安庆市中级人民法院,基层
1072,宜秀区人民法院,安庆市中级人民法院,基层
1073,桐城市人民法院,安庆市中级人民法院,基层
1074,怀宁县人民法院,安庆市中级人民法院,基层
1075,潜山市人民法院,安庆市中级人民法院,基层
1076,太湖县人民法院,安庆市中级人民法院,基层
1077,宿松县人民法院,安庆市中级人民法院,基层
1078,望江县人民法院,安庆市中级人民法院,基层
1079,岳西县人民法院,安庆市中级人民法院,基层
1080,屯溪区人民法院,黄山市中级人民法院,基层
1081,徽州区人民法院,黄山市中级人民法院,基层
1082,黄山区人民法院,黄山市中级人民法院,基层
1083,歙县人民法院,黄山市中级人民法院,基层
1084,休宁县人民法院,黄山市中级人民法院,基层
1085,黟县人民法院,黄山市中级人民法院,基层
1086,祁门县人民法院,黄山市中级人民法院,基层
1087,琅琊区人民法院,滁州市中级人民法院,基层
1088,南谯区人民法院,滁州市中级人民法院,基层
1089,天长市人民法院,滁州市中级人民法院,基层
1090,明光市人民法院,滁州市中级人民法院,基层
1091,来安县人民法院,滁州市中级人民法院,基层
1092,全椒县人民法院,滁州市中级人民法院,基层
1093,定远县人民法院,滁州市中级人民法院,基层
1094,凤阳县人民法院,滁州市中级人民法院,基层
1095,颍州区人民法院,阜阳市中级人民法院,基层
1096,颍东区人民法院,阜阳市中级人民法院,基层
1097,颍泉区人民法院,阜阳市中级人民法院,基层
1098,界首市人民法院,阜阳市中级人民法院,基层
1099,临泉县人民法院,阜阳市中级人民法院,基层
1100,太和县人民法院,阜阳市中级人民法院,基层
1101,阜南县人民法院,阜阳市中级人民法院,基层
1102,颍上县人民法院,阜阳市中级人民法院,基层
1103,埇桥区人民法院,宿州市中级人民法院,基层
1104,砀山县人民法院,宿州市中级人民法院,基层
1105,萧县人民法院,宿州市中级人民法院,基层
1106,灵璧县人民法院,宿州市中级人民法院,基层
1107,泗县人民法院,宿州市中级人民法院,基层
1108,金安区人民法院,六安市中级人民法院,基层
1109,裕安区人民法院,六安市中级人民法院,基层
1110,叶集区人民法院,六安市中级人民法院,基层
1111,霍邱县人民法院,六安市中级人民法院,基层
1112,舒城县人民法院,六安市中级人民法院,基层
1113,金寨县人民法院,六安市中级人民法院,基层
1114,霍山县人民法院,六安市中级人民法院,基层
1115,谯城区人民法院,亳州市中级人民法院,基层
1116,涡阳县人民法院,亳州市中级人民法院,基层
1117,蒙城县人民法院,亳州市中级人民法院,基层
1118,利辛县人民法院,亳州市中级人民法院,基层
1119,贵池区人民法院,池州市中级人民法院,基层
1120,东至县人民法院,池州市中级人民法院,基层
1121,石台县人民法院,池州市中级人民法院,基层
1122,青阳县人民法院,池州市中级人民法院,基层
1123,九华山风景区人民法院,池州市中级人民法院,基层
1124,宣州区人民法院,宣城市中级人民法院,基层
1125,宁国市人民法院,宣城市中级人民法院,基层
1126,郎溪县人民法院,宣城市中级人民法院,基层
1127,广德县人民法院,宣城市中级人民法院,基层
1128,泾县人民法院,宣城市中级人民法院,基层
1129,绩溪县人民法院,宣城市中级人民法院,基层
1130,旌德县人民法院,宣城市中级人民法院,基层
1131,福州鼓楼区人民法院,福州市中级人民法院,基层
1132,台江区人民法院,福州市中级人民法院,基层
1133,仓山区人民法院,福州市中级人民法院,基层
1134,马尾区人民法院,福州市中级人民法院,基层
1135,晋安区人民法院,福州市中级人民法院,基层
1136,福清市人民法院,福州市中级人民法院,基层
1137,长乐区人民法院,福州市中级人民法院,基层
1138,闽侯县人民法院,福州市中级人民法院,基层
1139,连江县人民法院,福州市中级人民法院,基层
1140,罗源县人民法院,福州市中级人民法院,基层
1141,闽清县人民法院,福州市中级人民法院,基层
1142,永泰县人民法院,福州市中级人民法院,基层
1143,平潭综合实验区人民法院,福州市中级人民法院,基层
1144,思明区人民法院,厦门市中级人民法院,基层
1145,海沧区人民法院,厦门市中级人民法院,基层
1146,湖里区人民法院,厦门市中级人民法院,基层
1147,集美区人民法院,厦门市中级人民法院,基层
1148,同安区人民法院,厦门市中级人民法院,基层
1149,翔安区人民法院,厦门市中级人民法院,基层
1150,城厢区人民法院,莆田市中级人民法院,基层
1151,涵江区人民法院,莆田市中级人民法院,基层
1152,荔城区人民法院,莆田市中级人民法院,基层
1153,秀屿区人民法院,莆田市中级人民法院,基层
1154,仙游县人民法院,莆田市中级人民法院,基层
1155,梅列区人民法院,三明市中级人民法院,基层
1156,三元区人民法院,三明市中级人民法院,基层
1157,永安市人民法院,三明市中级人民法院,基层
1158,明溪县人民法院,三明市中级人民法院,基层
1159,清流县人民法院,三明市中级人民法院,基层
1160,宁化县人民法院,三明市中级人民法院,基层
1161,大田县人民法院,三明市中级人民法院,基层
1162,尤溪县人民法院,三明市中级人民法院,基层
1163,沙县人民法院,三明市中级人民法院,基层
1164,将乐县人民法院,三明市中级人民法院,基层
1165,泰宁县人民法院,三明市中级人民法院,基层
1166,建宁县人民法院,三明市中级人民法院,基层
1167,鲤城区人民法院,泉州市中级人民法院,基层
1168,丰泽区人民法院,泉州市中级人民法院,基层
1169,洛江区人民法院,泉州市中级人民法院,基层
1170,泉港区人民法院,泉州市中级人民法院,基层
1171,石狮市人民法院,泉州市中级人民法院,基层
1172,晋江市人民法院,泉州市中级人民法院,基层
1173,南安市人民法院,泉州市中级人民法院,基层
1174,惠安县人民法院,泉州市中级人民法院,基层
1175,安溪县人民法院,泉州市中级人民法院,基层
1176,永春县人民法院,泉州市中级人民法院,基层
1177,德化县人民法院,泉州市中级人民法院,基层
1178,芗城区人民法院,漳州市中级人民法院,基层
1179,龙文区人民法院,漳州市中级人民法院,基层
1180,龙海市人民法院,漳州市中级人民法院,基层
1181,云霄县人民法院,漳州市中级人民法院,基层
1182,漳浦县人民法院,漳州市中级人民法院,基层
1183,诏安县人民法院,漳州市中级人民法院,基层
1184,长泰县人民法院,漳州市中级人民法院,基层
1185,东山县人民法院,漳州市中级人民法院,基层
1186,南靖县人民法院,漳州市中级人民法院,基层
1187,平和县人民法院,漳州市中级人民法院,基层
1188,华安县人民法院,漳州市中级人民法院,基层
1189,延平区人民法院,南平市中级人民法院,基层
1190,邵武市人民法院,南平市中级人民法院,基层
1191,武夷山市人民法院,南平市中级人民法院,基层
1192,建瓯市人民法院,南平市中级人民法院,基层
1193,建阳区人民法院,南平市中级人民法院,基层
1194,顺昌县人民法院,南平市中级人民法院,基层
1195,浦城县人民法院,南平市中级人民法院,基层
1196,光泽县人民法院,南平市中级人民法院,基层
1197,松溪县人民法院,南平市中级人民法院,基层
1198,政和县人民法院,南平市中级人民法院,基层
1199,新罗区人民法院,龙岩市中级人民法院,基层
1200,漳平市人民法院,龙岩市中级人民法院,基层
1201,长汀县人民法院,龙岩市中级人民法院,基层
1202,永定区人民法院,龙岩市中级人民法院,基层
1203,上杭县人民法院,龙岩市中级人民法院,基层
1204,武平县人民法院,龙岩市中级人民法院,基层
1205,连城县人民法院,龙岩市中级人民法院,基层
1206,蕉城区人民法院,宁德市中级人民法院,基层
1207,福安市人民法院,宁德市中级人民法院,基层
1208,福鼎市人民法院,宁德市中级人民法院,基层
1209,霞浦县人民法院,宁德市中级人民法院,基层
1210,古田县人民法院,宁德市中级人民法院,基层
1211,屏南县人民法院,宁德市中级人民法院,基层
1212,寿宁县人民法院,宁德市中级人民法院,基层
1213,周宁县人民法院,宁德市中级人民法院,基层
1214,柘荣县人民法院,宁德市中级人民法院,基层
1215,东湖区人民法院,南昌市中级人民法院,基层
1216,西湖区人民法院,南昌市中级人民法院,基层
1217,青云谱区人民法院,南昌市中级人民法院,基层
1218,湾里区人民法院,南昌市中级人民法院,基层
1219,青山湖区人民法院,南昌市中级人民法院,基层
1220,南昌县人民法院,南昌市中级人民法院,基层
1221,新建区人民法院,南昌市中级人民法院,基层
1222,安义县人民法院,南昌市中级人民法院,基层
1223,进贤县人民法院,南昌市中级人民法院,基层
1224,南昌高新开发区人民法院,南昌市中级人民法院,基层
1225,南昌开发区人民法院,南昌市中级人民法院,基层
1226,昌江区人民法院,景德镇市中级人民法院,基层
1227,珠山区人民法院,景德镇市中级人民法院,基层
1228,乐平市人民法院,景德镇市中级人民法院,基层
1229,浮梁县人民法院,景德镇市中级人民法院,基层
1230,安源区人民法院,萍乡市中级人民法院,基层
1231,湘东区人民法院,萍乡市中级人民法院,基层
1232,莲花县人民法院,萍乡市中级人民法院,基层
1233,上栗县人民法院,萍乡市中级人民法院,基层
1234,芦溪县人民法院,萍乡市中级人民法院,基层
1235,濂溪区人民法院,九江市中级人民法院,基层
1236,浔阳区人民法院,九江市中级人民法院,基层
1237,瑞昌市人民法院,九江市中级人民法院,基层
1238,共青城市人民法院,九江市中级人民法院,基层
1239,柴桑区人民法院,九江市中级人民法院,基层
1240,武宁县人民法院,九江市中级人民法院,基层
1241,修水县人民法院,九江市中级人民法院,基层
1242,永修县人民法院,九江市中级人民法院,基层
1243,德安县人民法院,九江市中级人民法院,基层
1244,庐山市人民法院,九江市中级人民法院,基层
1245,都昌县人民法院,九江市中级人民法院,基层
1246,湖口县人民法院,九江市中级人民法院,基层
1247,彭泽县人民法院,九江市中级人民法院,基层
1248,庐山人民法院,九江市中级人民法院,基层
1249,渝水区人民法院,新余市中级人民法院,基层
1250,分宜县人民法院,新余市中级人民法院,基层
1251,月湖区人民法院,鹰潭市中级人民法院,基层
1252,贵溪市人民法院,鹰潭市中级人民法院,基层
1253,余江区人民法院,鹰潭市中级人民法院,基层
1254,章贡区人民法院,赣州市中级人民法院,基层
1255,瑞金市人民法院,赣州市中级人民法院,基层
1256,南康市人民法院,赣州市中级人民法院,基层
1257,赣县区人民法院,赣州市中级人民法院,基层
1258,信丰县人民法院,赣州市中级人民法院,基层
1259,大余县人民法院,赣州市中级人民法院,基层
1260,上犹县人民法院,赣州市中级人民法院,基层
1261,崇义县人民法院,赣州市中级人民法院,基层
1262,安远县人民法院,赣州市中级人民法院,基层
1263,龙南县人民法院,赣州市中级人民法院,基层
1264,定南县人民法院,赣州市中级人民法院,基层
1265,全南县人民法院,赣州市中级人民法院,基层
1266,宁都县人民法院,赣州市中级人民法院,基层
1267,于都县人民法院,赣州市中级人民法院,基层
1268,兴国县人民法院,赣州市中级人民法院,基层
1269,会昌县人民法院,赣州市中级人民法院,基层
1270,寻乌县人民法院,赣州市中级人民法院,基层
1271,石城县人民法院,赣州市中级人民法院,基层
1272,赣州经开区人民法院,赣州市中级人民法院,基层
1273,吉州区人民法院,吉安市中级人民法院,基层
1274,青原区人民法院,吉安市中级人民法院,基层
1275,井冈山市人民法院,吉安市中级人民法院,基层
1276,吉安县人民法院,吉安市中级人民法院,基层
1277,吉水县人民法院,吉安市中级人民法院,基层
1278,峡江县人民法院,吉安市中级人民法院,基层
1279,新干县人民法院,吉安市中级人民法院,基层
1280,永丰县人民法院,吉安市中级人民法院,基层
1281,泰和县人民法院,吉安市中级人民法院,基层
1282,遂川县人民法院,吉安市中级人民法院,基层
1283,万安县人民法院,吉安市中级人民法院,基层
1284,安福县人民法院,吉安市中级人民法院,基层
1285,永新县人民法院,吉安市中级人民法院,基层
1286,袁州区人民法院,宜春市中级人民法院,基层
1287,丰城市人民法院,宜春市中级人民法院,基层
1288,樟树市人民法院,宜春市中级人民法院,基层
1289,高安市人民法院,宜春市中级人民法院,基层
1290,奉新县人民法院,宜春市中级人民法院,基层
1291,万载县人民法院,宜春市中级人民法院,基层
1292,上高县人民法院,宜春市中级人民法院,基层
1293,宜丰县人民法院,宜春市中级人民法院,基层
1294,靖安县人民法院,宜春市中级人民法院,基层
1295,铜鼓县人民法院,宜春市中级人民法院,基层
1296,临川区人民法院,抚州市中级人民法院,基层
1297,南城县人民法院,抚州市中级人民法院,基层
1298,黎川县人民法院,抚州市中级人民法院,基层
1299,南丰县人民法院,抚州市中级人民法院,基层
1300,崇仁县人民法院,抚州市中级人民法院,基层
1301,乐安县人民法院,抚州市中级人民法院,基层
1302,宜黄县人民法院,抚州市中级人民法院,基层
1303,金溪县人民法院,抚州市中级人民法院,基层
1304,资溪县人民法院,抚州市中级人民法院,基层
1305,东乡区人民法院,抚州市中级人民法院,基层
1306,广昌县人民法院,抚州市中级人民法院,基层
1307,信州区人民法院,上饶市中级人民法院,基层
1308,德兴市人民法院,上饶市中级人民法院,基层
1309,上饶县人民法院,上饶市中级人民法院,基层
1310,广丰县人民法院,上饶市中级人民法院,基层
1311,玉山县人民法院,上饶市中级人民法院,基层
1312,铅山县人民法院,上饶市中级人民法院,基层
1313,横峰县人民法院,上饶市中级人民法院,基层
1314,弋阳县人民法院,上饶市中级人民法院,基层
1315,余干县人民法院,上饶市中级人民法院,基层
1316,鄱阳县人民法院,上饶市中级人民法院,基层
1317,万年县人民法院,上饶市中级人民法院,基层
1318,婺源县人民法院,上饶市中级人民法院,基层
1319,历下区人民法院,济南市中级人民法院,基层
1320,市中区人民法院,济南市中级人民法院,基层
